Region,Segment,Year,Quarter,Month,Bookings
EAST,Public Sector,2020,1,3,95885.5
EAST,SMB,2020,1,3,80026.99
WEST,Enterprise,2020,1,3,31877.94
WEST,Public Sector,2020,1,3,51617.32
WEST,SMB,2020,1,3,50605.45
CENTRAL,Enterprise,2020,2,4,67407.86
CENTRAL,Public Sector,2020,2,4,63864.68
CENTRAL,SMB,2020,2,4,82871.22
EAST,Enterprise,2020,2,4,53096.73
EAST,Public Sector,2020,2,4,28155.25
EAST,SMB,2020,2,4,13474.1
WEST,Enterprise,2020,2,4,45404.6
WEST,Public Sector,2020,2,4,25640.03
WEST,SMB,2020,2,4,37925.75
CENTRAL,Enterprise,2020,2,5,39611.06
CENTRAL,Public Sector,2020,2,5,47404.53
CENTRAL,SMB,2020,2,5,54194.28
EAST,Enterprise,2020,2,5,36787.68
EAST,Public Sector,2020,2,5,37800.47
EAST,SMB,2020,2,5,83757.83
WEST,Enterprise,2020,2,5,13609.78
WEST,Public Sector,2020,2,5,94550.02
WEST,SMB,2020,2,5,93757.19
CENTRAL,Enterprise,2020,2,6,60844.29
CENTRAL,Public Sector,2020,2,6,55710.75
CENTRAL,SMB,2020,2,6,12100.11
EAST,Enterprise,2020,2,6,20174.0
EAST,Public Sector,2020,2,6,19436.02
EAST,SMB,2020,2,6,73965.84
WEST,Enterprise,2020,2,6,45029.11
WEST,Public Sector,2020,2,6,35574.24
WEST,SMB,2020,2,6,82542.04
CENTRAL,Enterprise,2020,3,7,68309.51
CENTRAL,Public Sector,2020,3,7,57842.13
CENTRAL,SMB,2020,3,7,83656.5
EAST,Enterprise,2020,3,7,42750.2
EAST,Public Sector,2020,3,7,68975.36
EAST,SMB,2020,3,7,45495.87
WEST,Enterprise,2020,3,7,28673.08
WEST,Public Sector,2020,3,7,43190.58
WEST,SMB,2020,3,7,83633.93
CENTRAL,Enterprise,2020,3,8,17980.9
CENTRAL,Public Sector,2020,3,8,20231.58
CENTRAL,SMB,2020,3,8,92452.97
EAST,Enterprise,2020,3,8,23512.4
EAST,Public Sector,2020,3,8,19422.62
EAST,SMB,2020,3,8,16212.62
WEST,Enterprise,2020,3,8,80669.32
WEST,Public Sector,2020,3,8,41896.68
WEST,SMB,2020,3,8,48816.36
CENTRAL,Enterprise,2020,3,9,69335.44
CENTRAL,Public Sector,2020,3,9,89625.18
CENTRAL,SMB,2020,3,9,11265.95
EAST,Enterprise,2020,3,9,41530.92
EAST,Public Sector,2020,3,9,10284.27
EAST,SMB,2020,3,9,98521.73
WEST,Enterprise,2020,3,9,50244.47
WEST,Public Sector,2020,3,9,70103.79
WEST,SMB,2020,3,9,34486.28
CENTRAL,Enterprise,2020,4,10,45987.03
CENTRAL,Public Sector,2020,4,10,40067.92
CENTRAL,SMB,2020,4,10,72172.21
EAST,Enterprise,2020,4,10,15886.55
EAST,Public Sector,2020,4,10,39991.03
EAST,SMB,2020,4,10,67302.48
WEST,Enterprise,2020,4,10,66003.05
WEST,Public Sector,2020,4,10,48191.79
WEST,SMB,2020,4,10,80988.23
CENTRAL,Enterprise,2020,4,11,52089.69
CENTRAL,Public Sector,2020,4,11,42248.28
CENTRAL,SMB,2020,4,11,20393.78
EAST,Enterprise,2020,4,11,37950.8
EAST,Public Sector,2020,4,11,34258.1
EAST,SMB,2020,4,11,80597.35
WEST,Enterprise,2020,4,11,65412.51
WEST,Public Sector,2020,4,11,83650.6
WEST,SMB,2020,4,11,55137.95
CENTRAL,Enterprise,2020,4,12,92337.85
CENTRAL,Public Sector,2020,4,12,25285.2
CENTRAL,SMB,2020,4,12,66176.34
EAST,Enterprise,2020,4,12,61635.72
EAST,Public Sector,2020,4,12,83286.42
EAST,SMB,2020,4,12,94345.07
WEST,Enterprise,2020,4,12,38190.26
WEST,Public Sector,2020,4,12,54579.15
WEST,SMB,2020,4,12,76072.92
CENTRAL,Enterprise,2021,1,1,68000.42
CENTRAL,Public Sector,2021,1,1,37937.64
CENTRAL,SMB,2021,1,1,19722.47
EAST,Enterprise,2021,1,1,41026.68
EAST,Public Sector,2021,1,1,39003.39
EAST,SMB,2021,1,1,45550.75
WEST,Enterprise,2021,1,1,52214.99
WEST,Public Sector,2021,1,1,21566.75
WEST,SMB,2021,1,1,71723.88
CENTRAL,Enterprise,2021,1,2,93409.59
CENTRAL,Public Sector,2021,1,2,94296.59
CENTRAL,SMB,2021,1,2,88326.57
EAST,Enterprise,2021,1,2,57768.15
EAST,Public Sector,2021,1,2,83795.97
EAST,SMB,2021,1,2,53860.26
WEST,Enterprise,2021,1,2,30280.5
WEST,Public Sector,2021,1,2,52936.98
WEST,SMB,2021,1,2,91059.49
CENTRAL,Enterprise,2021,1,3,86624.06
CENTRAL,Public Sector,2021,1,3,32984.1
CENTRAL,SMB,2021,1,3,40690.51
EAST,Enterprise,2021,1,3,45299.72
EAST,Public Sector,2021,1,3,46759.18
EAST,SMB,2021,1,3,34092.46
WEST,Enterprise,2021,1,3,35527.4
WEST,Public Sector,2021,1,3,98419.1
WEST,SMB,2021,1,3,86066.51
CENTRAL,Enterprise,2021,2,4,54638.09
CENTRAL,Public Sector,2021,2,4,56970.67
CENTRAL,SMB,2021,2,4,98644.0
EAST,Enterprise,2021,2,4,26906.62
EAST,Public Sector,2021,2,4,77960.94
EAST,SMB,2021,2,4,88022.95
WEST,Enterprise,2021,2,4,81159.16
WEST,Public Sector,2021,2,4,47428.83
WEST,SMB,2021,2,4,42080.21
CENTRAL,Enterprise,2021,2,5,21647.09
CENTRAL,Public Sector,2021,2,5,32281.45
CENTRAL,SMB,2021,2,5,17284.26
EAST,Enterprise,2021,2,5,51056.16
EAST,Public Sector,2021,2,5,35921.21
EAST,SMB,2021,2,5,48250.74
WEST,Enterprise,2021,2,5,68076.49
WEST,Public Sector,2021,2,5,49722.34
WEST,SMB,2021,2,5,37327.79
